last_updated,name,address,rating,description,distance,place_id,hours,allHours
2025-04-24T13:54:58.969423,7-Eleven,"833 West Van Buren Street 400 Green, Chicago",2.4,,0.32,ChIJER7RQ_AsDogRYz-55X70g9s,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
2025-04-24T13:54:59.096285,Jimmy John's,"812 West Van Buren Street, Chicago",3.6,,0.34,ChIJVTHjs8IsDogRd0xQXXV6eRw,"Monday: 10:00 AM – 9:00 PM
Tuesday: 10:00 AM – 9:00 PM
Wednesday: 10:00 AM – 9:00 PM
Thursday: 10:00 AM – 9:00 PM
Friday: 10:00 AM – 9:00 PM
Saturday: 10:00 AM – 9:00 PM
Sunday: 10:00 AM – 9:00 PM","Monday: 10:00 AM – 9:00 PM
Tuesday: 10:00 AM – 9:00 PM
Wednesday: 10:00 AM – 9:00 PM
Thursday: 10:00 AM – 9:00 PM
Friday: 10:00 AM – 9:00 PM
Saturday: 10:00 AM – 9:00 PM
Sunday: 10:00 AM – 9:00 PM"
2025-04-24T13:54:59.203549,Mario's Italian Lemonade,"1068 West Taylor Street, Chicago",4.7,,0.34,ChIJ952t8uMsDogRoCWg8HbqYck,,
2025-04-24T13:54:59.311981,Primos Chicago Pizza,"816 West Van Buren Street, Chicago",3.5,,0.34,ChIJMyxk4zgtDogRr7o5ZDt_MXI,"Monday: 8:00 AM – 2:00 AM
Tuesday: 8:00 AM – 2:00 AM
Wednesday: 8:00 AM – 2:00 AM
Thursday: 8:00 AM – 2:00 AM
Friday: 8:00 AM – 7:00 PM
Saturday: Closed
Sunday: Closed","Monday: 8:00 AM – 2:00 AM
Tuesday: 8:00 AM – 2:00 AM
Wednesday: 8:00 AM – 2:00 AM
Thursday: 8:00 AM – 2:00 AM
Friday: 8:00 AM – 7:00 PM
Saturday: Closed
Sunday: Closed"
2025-04-24T13:54:59.400793,Raising Cane's Chicken Fingers,"564 West Taylor Street, Chicago",3.1,,0.35,ChIJLajboRMtDogR5cuHoFTh500,"Monday: 10:00 AM – 1:00 AM
Tuesday: 10:00 AM – 1:00 AM
Wednesday: 10:00 AM – 1:00 AM
Thursday: 10:00 AM – 1:00 AM
Friday: 10:00 AM – 2:00 AM
Saturday: 10:00 AM – 2:00 AM
Sunday: 10:00 AM – 1:00 AM","Monday: 10:00 AM – 1:00 AM
Tuesday: 10:00 AM – 1:00 AM
Wednesday: 10:00 AM – 1:00 AM
Thursday: 10:00 AM – 1:00 AM
Friday: 10:00 AM – 2:00 AM
Saturday: 10:00 AM – 2:00 AM
Sunday: 10:00 AM – 1:00 AM"
2025-04-24T13:54:59.524482,Al's #1 Italian Beef,"1079 West Taylor Street, Chicago",4.1,,0.36,ChIJ6SVtkeMsDogRhrNdhkJarlY,"Monday: 9:00 AM – 11:00 PM
Tuesday: 9:00 AM – 11:00 PM
Wednesday: 9:00 AM – 11:00 PM
Thursday: 9:00 AM – 11:00 PM
Friday: 9:00 AM – 11:00 PM
Saturday: 10:00 AM – 11:00 PM
Sunday: Closed","Monday: 9:00 AM – 11:00 PM
Tuesday: 9:00 AM – 11:00 PM
Wednesday: 9:00 AM – 11:00 PM
Thursday: 9:00 AM – 11:00 PM
Friday: 9:00 AM – 11:00 PM
Saturday: 10:00 AM – 11:00 PM
Sunday: Closed"
2025-04-24T13:54:59.645066,Subway,"1100 West Taylor Street, Chicago",3.9,,0.37,ChIJA6JhleMsDogRvf0ONFPmKmM,"Monday: 7:00 AM – 10:00 PM
Tuesday: 7:00 AM – 10:00 PM
Wednesday: 7:00 AM – 10:00 PM
Thursday: 7:00 AM – 10:00 PM
Friday: 7:00 AM – 10:00 PM
Saturday: 9:00 AM – 10:00 PM
Sunday: 9:00 AM – 10:00 PM","Monday: 7:00 AM – 10:00 PM
Tuesday: 7:00 AM – 10:00 PM
Wednesday: 7:00 AM – 10:00 PM
Thursday: 7:00 AM – 10:00 PM
Friday: 7:00 AM – 10:00 PM
Saturday: 9:00 AM – 10:00 PM
Sunday: 9:00 AM – 10:00 PM"
2025-04-24T13:54:59.750365,Farmer's Fridge,"Located in the 2nd floor vending room, 555 West Harrison Street, Chicago",,,0.37,ChIJ8dHjiHwtDogRLjZIKJUN4TI,"Monday: 8:00 AM – 4:00 PM
Tuesday: 8:00 AM – 4:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: 8:00 AM – 4:00 PM","Monday: 8:00 AM – 4:00 PM
Tuesday: 8:00 AM – 4:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: 8:00 AM – 4:00 PM"
2025-04-24T13:54:59.894142,Ghareeb Nawaz UIC,"807 West Roosevelt Road, Chicago",3.9,,0.37,ChIJQ5WH6-8sDogRiOSiAaMLbus,"Monday: 9:30 AM – 10:00 PM
Tuesday: 9:30 AM – 10:00 PM
Wednesday: 9:30 AM – 10:00 PM
Thursday: 9:30 AM – 10:00 PM
Friday: 9:30 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","Monday: 9:30 AM – 10:00 PM
Tuesday: 9:30 AM – 10:00 PM
Wednesday: 9:30 AM – 10:00 PM
Thursday: 9:30 AM – 10:00 PM
Friday: 9:30 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM"
2025-04-24T13:55:00.009257,La Adelita Food Truck,"1104 West Taylor Street, Chicago",4,,0.37,ChIJm_xy4d4tDogRed9H5zO4_SQ,"Monday: 8:00 AM – 9:00 PM
Tuesday: 8:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 9:00 PM
Sunday: Closed","Monday: 8:00 AM – 9:00 PM
Tuesday: 8:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 9:00 PM
Sunday: Closed"
